datetime,id,customer_id,customer_name,product_id,product_name,quantity,amount,delivery_country,status
2024-11-26 10:23:40,c7f294ca-77ef-4901-a3ec-585a0e4b7ace,7,Matthew Schultz,6,Onovo Supply,493,297646.88,Armenia,PENDING
2021-09-28 06:21:00,a1e11f4b-68db-40b5-a463-f69f0dad6ab6,3,Debra Branch,2,InstaPress,886,648333.86,Lesotho,FAILED
2021-12-18 16:27:33,22c4d2c0-3a32-4e48-ab05-8d58e3bb5bde,5,Mallory Carpenter,2,InstaPress,174,84712.28,Congo,SUCCESS
2021-05-24 07:56:25,71e94307-5ae4-40ad-95af-d50b66c08f8e,1,Alexander Long,7,Sharpy Knife,365,6604.91,South Georgia and the South Sandwich Islands,PENDING
2022-04-06 10:02:23,2fbe45bc-a7a8-4352-8330-af072d994cd2,7,Matthew Schultz,0,Orbital Keys,295,102474.24,Ghana,SUCCESS
2021-11-05 19:13:19,67011d6b-c747-4963-9912-f255433b7f17,5,Mallory Carpenter,6,Onovo Supply,759,236850.78,Dominica,FAILED
2024-06-22 08:25:20,91683a3c-9861-4632-9b9e-2ca5cda6f08b,1,Alexander Long,1,XPress Bottle,578,2.36,France,PENDING
2024-12-03 11:45:17,148f5ee9-645b-42c2-ab69-968afce4e118,4,Ashley Oliver,2,InstaPress,31,991101.09,Saint Martin,PENDING
2022-12-31 22:53:39,fbec4376-808e-4ce3-ba1c-3ed566b62ec3,2,Roberto Davies,6,Onovo Supply,765,54011.49,Fiji,FAILED
2020-08-29 09:00:45,4cacadc7-0b02-4a5e-97ce-85d8ee746753,9,Kristin House,1,XPress Bottle,85,18582.78,Sweden,FAILED
2023-04-26 15:28:36,307592ad-88a1-4c9b-91d2-40354a401bce,9,Kristin House,1,XPress Bottle,896,55023.18,Cayman Islands,FAILED
2024-10-02 18:33:48,5433f654-2220-407e-b6a4-59b2e4e28b25,8,Jerry Carroll,5,Swish Wallet,578,32.55,Malaysia,FAILED
2023-01-10 22:44:55,b6040342-27bf-438d-9f89-455dde1b02fa,8,Jerry Carroll,1,XPress Bottle,614,293920.56,Albania,FAILED
2020-12-03 12:09:27,32e71ab2-177a-4726-a672-2da46fda386d,0,Mr. Marcus Kennedy,3,Uno Wear,672,542639.34,United Kingdom,SUCCESS
2021-09-07 01:21:37,07b44121-55b9-46cf-b39c-4381cba67780,0,Mr. Marcus Kennedy,4,Allure Kit,475,4833.9,Turkey,SUCCESS
